Time,Price
2024-7,20215.0
2024-6,20751.0
2024-5,21601.0
2024-4,22088.0
2024-3,22700.0
2024-2,23462.0
2023-12,23469.0
2023-11,24239.0
2023-10,24413.0
2023-9,24693.0
2023-8,24913.0
2023-7,25415.0
2023-6,25993.0
2023-5,26420.0
2023-4,26496.0
2023-3,26885.0
2023-2,27309.0
2023-1,27360.0
2022-12,26590.0
2022-11,26664.0
2022-10,26731.0
2022-9,26699.0
2022-8,26691.0
2022-7,27217.0
2022-6,27082.0
2022-5,27176.0
2022-4,27446.0
2022-3,27648.0
2022-2,27952.0
2022-1,27548.0
2021-12,27242.0
2021-11,27279.0
2021-10,27492.0
2021-9,27742.0
2021-8,27647.0
2021-7,28042.0
2021-6,27457.0
2021-5,27275.0
2021-4,27086.0
2021-3,26876.0
2021-2,26680.0
2021-1,26611.0
2020-12,26075.0
2020-11,25757.0
2020-10,25490.0
2020-9,25183.0
2020-8,24738.0
2020-7,24200.0
2020-6,23712.0
2020-5,23506.0
2020-4,23541.0
2020-3,23768.0
2020-2,23590.0
2020-1,23250.0
2019-12,22814.0
2019-11,22454.0
2019-10,22294.0
2019-9,22090.0
2019-8,21828.0
2019-7,21480.0
2019-6,21059.0
2019-5,20857.0
2019-4,20787.0
2019-3,20599.0
2019-2,20386.0
2019-1,20245.0
2018-12,20313.0
2018-11,20445.0
2018-10,20528.0
2018-9,20438.0
2018-8,20436.0
2018-7,20091.0
2018-6,19600.0
2018-5,18773.0
2018-4,18196.0
2018-3,17723.0
2018-2,17444.0
2018-1,17137.0
2017-12,17037.0
2017-11,16714.0
2017-10,16309.0
2017-9,16377.0
2017-8,16418.0
2017-7,16102.0
2017-6,15705.0
2017-5,15316.0
2017-4,15023.0
2017-3,14595.0
2017-2,14229.0
2017-1,14018.0
2016-12,13857.0
2016-11,13509.0
2016-10,13321.0
2016-9,13116.0
2016-8,13082.0
2016-7,13069.0
2016-6,12956.0
2016-5,12508.0
2016-4,12698.0
2016-3,12352.0
2016-2,12274.0
2016-1,12250.0
2015-12,12250.0
2015-11,12273.0
2015-10,12150.0
2015-9,12093.0
2015-8,11694.0
2015-7,11855.0
2015-6,12063.0
2015-5,12209.0
2015-4,12171.0
2015-3,12299.0
2015-2,12320.0
2015-1,12569.0
2014-12,14350.0
2014-11,14332.0
2014-10,14592.0
2014-9,14498.0
2014-8,14346.0
2014-7,14332.0
2014-6,14904.0
2014-5,15026.0
2014-4,14829.0
2014-3,15049.0
2014-2,15114.0
2014-1,15335.0
2013-12,15461.0
2013-11,15536.0
2013-10,15690.0
2013-9,15636.0
2013-8,15700.0
2013-7,15841.0
2013-6,15674.0
2013-5,15600.0
2013-4,15554.0
2013-3,15441.0
2013-2,15512.0
2013-1,15322.0
2012-12,15342.0
2012-11,15337.0
2012-10,15363.0
2012-9,15531.0
2012-8,15587.0
2012-7,15366.0
2012-6,14975.0
2012-5,14996.0
2012-4,15063.0
2012-3,15277.0
2012-2,15228.0
2012-1,15288.0
2011-12,15458.0
2011-11,15706.0
2011-10,16227.0
2011-9,16277.0
2011-8,16268.0
2011-7,16301.0
2011-6,15628.0
2011-5,15503.0
2011-4,0.0
2011-3,0.0
2011-2,0.0
2011-1,
